tlf_id,registry_version,title,objective,population,endpoint,method,source_domains,analysis_dataset,output_file,qc_evidence
T01,0.17.0,Demographics,Describe baseline demographic characteristics,Safety population,Age sex race,Descriptive statistics,DM|EX,outputs/adsl_style.csv,outputs/table1_demographics.csv,outputs/qc_report.csv
T02,0.17.0,Subject disposition,Describe randomisation completion and discontinuation,Randomised population,Disposition status and reason,Counts and percentages,DM|DS|EX,outputs/adsl_style.csv,outputs/table2_disposition.csv,outputs/qc_report.csv
T03,0.17.0,Exposure,Describe observed treatment exposure,Safety population,Treatment duration exposure records dose,Descriptive statistics,DM|EX|DS,outputs/adsl_style.csv,outputs/table3_exposure.csv,outputs/qc_report.csv
T04,0.17.0,TEAE overview,Summarise treatment-emergent adverse events,Safety population,Any serious related and moderate/severe TEAE,Subject incidence and event counts,DM|EX|DS|AE,outputs/adsl_style.csv|outputs/adae_style.csv,outputs/table4_teae_overview.csv,outputs/qc_report.csv
T05,0.17.0,TEAE by SOC and PT,Summarise TEAE incidence by medical category,Safety population,System organ class and preferred term,Unique-subject incidence,DM|EX|DS|AE,outputs/adsl_style.csv|outputs/adae_style.csv,outputs/table5_teae_soc_pt.csv,outputs/qc_report.csv
T06,0.17.0,TEAE by severity,Summarise TEAE incidence by severity,Safety population,AE severity,Unique-subject incidence,DM|EX|DS|AE,outputs/adsl_style.csv|outputs/adae_style.csv,outputs/table6_teae_severity.csv,outputs/qc_report.csv
T07,0.17.0,Any-TEAE risk difference,Compare exploratory any-TEAE risk versus placebo,Safety population,Any TEAE,Risk difference Wald CI and Fisher exact test,DM|EX|DS|AE,outputs/adsl_style.csv|outputs/adae_style.csv,outputs/table7_teae_risk_difference.csv,outputs/qc_report.csv
T08,0.17.0,ACTOT Week 24 descriptives,Describe baseline Week 24 and change values,ACTOT efficacy population,ACTOT,Descriptive statistics,DM|DS|EX|QS,outputs/adqs_actot_style.csv,outputs/table8_actot_descriptive.csv,outputs/qc_report.csv
T09,0.17.0,ACTOT Week 24 ANCOVA LS means,Estimate adjusted treatment means at Week 24,Observed Week 24 and LOCF sensitivity populations,ACTOT,ANCOVA with treatment and centred baseline,DM|DS|EX|QS,outputs/adqs_actot_style.csv|outputs/ancova_analysis_subjects.csv,outputs/table9_actot_lsmeans.csv,outputs/qc_report.csv|outputs/r_independent_qc.csv
T10,0.17.0,ACTOT Week 24 ANCOVA contrasts,Compare active treatment with placebo at Week 24,Observed Week 24 and LOCF sensitivity populations,ACTOT,ANCOVA active-versus-placebo contrasts,DM|DS|EX|QS,outputs/adqs_actot_style.csv|outputs/ancova_analysis_subjects.csv,outputs/table10_actot_ancova_contrasts.csv,outputs/qc_report.csv|outputs/r_independent_qc.csv
